name	id	n_works	mbz_id
Traditional	31	645	
"Haydn, Franz Joseph"	15	116	c130b0fb-5dce-449d-9f40-1437f889f7fe
"Stravinsky, Igor"	508	107	c278de2c-9696-4fdf-a919-0781cd945e2c
"Chopin, Frédéric"	40	92	09ff1fe8-d61c-4b98-bb82-18487c74d7b7
Anthem	118	54	
Unspecified	398	53	
"Rimsky-Korsakov, Nikolai"	294	43	4cfe7051-f649-4d07-83b3-7a732abe7249
"Elgar, Sir Edward"	254	32	4e60a56a-514a-4a19-a3cc-49927c96b3cb
"Glazunov, Alexander"	275	32	5a0988a4-695c-4bff-bc68-4f312427495e
"Villa-Lobos, Heitor"	1051	32	a8dbf22f-9788-4cf6-a0df-c9244384f295
"Hadley, Henry Kimball"	337	25	d622a6fc-e05a-4e26-a535-68993f7dfb73
"Machado, Roger"	1440	25	
Unknown	352	23	
"MacDowell, Edward A."	247	18	6bcbe65a-f7cb-4088-9883-c817a6458d6e
Demonstration	496	16	
"Corigliano, John, Jr."	1645	16	ead4efb5-f8d3-44d1-8a3f-a1cf24a0ccc9
"Pirani, Eugenio di"	321	15	
"Lyadov, Anatoli"	350	15	27870fb6-347c-48b1-adf4-c7bf0f71513e
"Sullivan, Sir Arthur Seymour"	256	14	4b466f5e-4620-4084-8841-3fe4ea38e689
"Gretchaninoff, Alexander"	408	14	b1f170dd-cd12-4148-90f2-1e58aa5400f1
"Dubensky, Arkady"	821	14	de23e4ed-8e87-4655-b978-9bcd90bcf1fb
"Langley, Allan Lincoln"	697	13	
"Previn, Sir André"	1622	13	06538137-47eb-4dd6-bb78-5c8afa1a1885
"Gliere, Reinhold"	653	11	8b008af7-cdb9-4abe-baed-ba737622e310
"Labate, Bruno"	655	11	
Folk Song	388	10	
VARIOUS	472	10	
"Kalman, Emmerich"	1067	10	636ae5e2-15df-4046-8ba1-c30da6365447
"Cella, Theodore"	882	9	
"McDonald, Harl"	991	9	08a40499-1671-48dd-8ca4-dd00002fa5d5
"Kay, Ulysses Simpson"	1197	9	ab65524d-c26c-478e-9c09-f4c243ff9779
"Converse, Frederick S."	381	8	81785663-55f5-4507-a560-da8ac48db13c
"Pizzetti, Ilderbando"	683	8	0ea32d88-f302-44e6-bd75-d73e4ad135a1
"Roger-Ducasse, Jean"	493	7	1eba38b8-7056-47ae-9c07-d9e7b85142ee
"Mercadante, Giuseppe Saverio"	30	6	f5509d70-5768-4701-bf6c-d1f91e0f24d4
"Volkmann, Friedrich Robert"	138	6	55f78522-aceb-4487-948b-e9967363471f
"Mackenzie, Alexander C."	199	6	04fb2fd5-0aa9-4c7f-b1d4-068edfd0458a
"Kramer, Alex Walter"	552	6	f23da764-0c6f-4923-9282-93e3f30a2fd5
"Rabaud, Henri"	576	6	7e4c5b76-d2e7-48f4-a46e-65d62c35288a
"Powell, John"	624	6	0214a285-589c-4ead-ae13-feab602d8004
"Rogers, Bernard"	631	6	cdd7eefd-c8d4-432e-9a01-45a4ecd93aba
"Berezowsky, Nicolai"	844	6	
"Gillis, Don"	1263	6	c17177b2-c596-4d86-8bb3-350d3368d460
"Shchedrin, Rodion"	1653	6	09deb4a5-8746-47f8-b020-cde50023841d
"Maxwell Davies, Sir Peter"	1707	6	db16dadb-0024-4758-b35e-111ca52c53ea
"Dun, Tan"	2057	6	0a94a7ff-f7f4-4b07-8a3b-c3daa4ce2fb8
"Chaplin, Charles"	2150	6	
"Eisfeld, Theodore"	79	5	
"Scharwenka, Franz Xaver"	179	5	9737c5c6-8613-4d38-81dc-07561a512bc7
"Tommasini, Vincenzo"	645	5	b5fc52b9-114c-4804-be56-68335077ac29
Vivaldi-Bach	771	5	
"Kreutz, Arthur"	1218	5	
"Scott, Raymond"	1246	5	1807480c-c81e-401a-8016-300758f51008
"Davis, Katherine"	2010	5	0a58d67d-7701-4910-bebe-d912c64ea607
"Dix, Brian"	2383	5	
No Composer	4	4	
"Kalliwoda, Johann W."	7	4	ca00fa99-1b7b-491f-824c-32b9b3c627ce
"Schreiber, Louis"	81	4	
"Ernst, Heinrich Wilhelm"	91	4	9777e544-cca0-45d7-b12a-eac58d8f38d7
"Henschel, Sir George"	202	4	b9f54ebe-7142-4eab-aff1-1d24c5668b7e
"Bayer, Joseph"	303	4	f139c412-10f9-484e-ab56-ae929aa23f7f
"Stahlberg, Fritz"	399	4	
"Stock, Frederick A."	420	4	e39863ed-0ab5-4dff-93b5-bf2adb121e7d
"Stojowski, Sigismond"	432	4	88646e58-ed0e-45fb-9da6-3a3cb57425e7
"Zimbalist, Efrem"	577	4	030c725e-f671-4c35-b283-8690ba6f3c4e
"Wetzler, Hermann Hans"	707	4	
"Balakirev, Mily Alekseyevich"	848	4	482dc0a4-0c39-40dc-9d6d-ca250a5ef833
"Sanders, Robert L."	926	4	
"Pregel, Boris"	1471	4	
"Goodman, Saul"	1487	4	
"McCartney, Sir Paul"	1666	4	
"Crawford, Ruth Porter"	1694	4	bd108522-8856-4eba-8747-f38860a51818
"Matthus, Siegfried"	1897	4	3138937a-6aee-4b56-82ed-96f39dcb11c2
"Lunsqui, Alexandre"	2402	4	
PUBLIQuartet	2711	4	
"Ries, Ferdinand"	27	3	
"Benedict, Jules"	55	3	
"Mollenhauer, Friedrich"	83	3	
"Ritter, Frederic Louis"	131	3	
"Rheinberger, Joseph"	192	3	
"Strong, George Templeton"	239	3	
"Parry, Sir Charles Hubert H."	240	3	
"Vilbac, Alphonse Charles Renaud de"	297	3	
"Schenck, Elliott"	317	3	
"Ries, Franz"	331	3	
"Laucella, Nicola"	434	3	
"Hue, Georges Adolphe"	451	3	
"Leclair, Jean Marie"	459	3	
"Green, Arthur N."	500	3	
"Falck, Edward"	515	3	
"Kalinnikov, Vassili"	545	3	
"Horsman, Edward Imeson, Jr."	547	3	
"Sibella, Gabrielle"	575	3	
"Fourdrain, Félix Alfred"	599	3	
"Willis, Wallis"	832	3	
"Nin, Joachin"	900	3	
"Fiorillo, Dante"	959	3	
"Dittersdorf, Karl Von"	979	3	
"Johnson, Horace"	1000	3	
"Kurthy, Zoltan"	1071	3	
"Alabieff, Alexander"	1111	3	
"Mohaupt, Richard"	1124	3	
"Piket, Frederick"	1338	3	
"Gaburo, Kenneth"	1466	3	
"Harkness, Rebecca"	1472	3	
"Arnold, Sir Malcolm"	1536	3	
"Baker, David J."	1737	3	
"Picker, Tobias"	1941	3	
"Tsypin, Vladimir"	2146	3	
"Aizenstadt, David"	2175	3	
"Sichel, John"	2190	3	
"Rosenblatt, Y."	2202	3	
"LeFrak, Karen"	2262	3	
