era	name	born	died
Medieval - 11th though 14th Centuries	Petrus Abaelardus	1079	1142
Medieval - 11th though 14th Centuries	Hildegard von Bingen	1098	1179
Medieval - 11th though 14th Centuries	Pérotin Magister	1155	1250
Medieval - 11th though 14th Centuries	Léonin Magister	1150	1201
Medieval - 11th though 14th Centuries	Philippe Le Chancelier	1165	1236
Medieval - 11th though 14th Centuries	Walter von Der Vogelweide	1170	1230
Medieval - 11th though 14th Centuries	Alfonso X "El Sabio"	1221	1284
Medieval - 11th though 14th Centuries	Philippe de Vitry	1291	1361
Medieval - 11th though 14th Centuries	Pierre Des Molins	1375	
Medieval - 11th though 14th Centuries	Ghirardello da Firenza	1375	
Medieval - 11th though 14th Centuries	Lorenzo da Firenza	1375	
Medieval - 11th though 14th Centuries	Jacopo da Bologna	1375	
Medieval - 11th though 14th Centuries	Guillaume de Machaut	1300	1377
Medieval - 11th though 14th Centuries	Francesco Landini	1325	1397
Medieval - 11th though 14th Centuries	Pycard	1390	
Medieval - 11th though 14th Centuries	Franchois Lebertoul	1400	
Medieval - 11th though 14th Centuries	Johannes Ciconia	1335	1411
Early Renaissance - 15th Century	Leonel Power	1445	
Early Renaissance - 15th Century	Walter Frye	1450	
Early Renaissance - 15th Century	John Dunstable	1380	1453
Early Renaissance - 15th Century	Guillaume Dufay	1400	1474
Early Renaissance - 15th Century	Johannes Brassart	1405	1450
Early Renaissance - 15th Century	John Browne	1498	
Early Renaissance - 15th Century	Johannes Ockeghem	1420	1497
Early Renaissance - 15th Century	Antoine Busnoys	1430	1492
Early Renaissance - 15th Century	Richard Hygons	1435	1509
Early Renaissance - 15th Century	Josquin Des Préz	1440	1521
Early Renaissance - 15th Century	Alexander Agricola	1446	1506
Early Renaissance - 15th Century	Edmund Turges	1450	
Early Renaissance - 15th Century	Walter Lambe	1450	1499
Early Renaissance - 15th Century	Robert Wylkynson	1450	1515
Early Renaissance - 15th Century	Heinrich Isaac	1450	1517
Early Renaissance - 15th Century	Jacob Obrecht	1457	1458
Early Renaissance - 15th Century	Jean Mouton	1459	1522
Early Renaissance - 15th Century	Gijon	1460	1500
Early Renaissance - 15th Century	Francisco de la Torre	1460	1500
Early Renaissance - 15th Century	Juan de Triana	1460	1500
Early Renaissance - 15th Century	Antoine Brumel	1460	1515
Early Renaissance - 15th Century	Pierre de la Rue	1460	1518
