country	name	born	died
Albania	Simon Gjoni	1926	1991
Albania	Tonin Harapi		
Albania	Agim Krajka	1937	
Albania	Aleksandër Peçi		
Albania	Esat Rizvanolli	1936	
Albania	Çesk Zadeja	1927	1997
Australia	Alfred Hill	1869	1960
Australia	Phillip Houghton	1954	
Australia	Isaac Nathan	1791	1864
Australia	Peter Sculthorpe	1929	2014
Azerbaijan	Fikret Amirov	1922	1984
Azerbaijan	Gara Garayev	1918	1982
Azerbaijan	Uzeyir Hajibeyov	1885	1948
Azerbaijan	Muslim Magomaev	1942	2008
Azerbaijan	Soltan Hajibeyov	1919	1974
Azerbaijan	Said Rustamov	1907	1983
Azerbaijan	Rauf Hajiyev	1922	1995
Azerbaijan	Jahangir Jahangirov	1921	1992
Azerbaijan	Tofig Guliyev	1917	2000
Azerbaijan	Vagif Mustafazade	1940	1979
Azerbaijan	Rafig Babayev	1937	1994
Azerbaijan	Arif Malikov	1933	
Azerbaijan	Frangiz Ali-Zadeh	1947	
Azerbaijan	Jovdat Hajiyev	1917	2002
Azerbaijan	Rauf Hajiyev	1922	1995
Azerbaijan	Faraj Garayev	1943	
Belgium	Jean Absil	1893	1974
Belgium	Jean-Baptiste Accolay	1833	1900
Belgium	Karel Albert	1901	1987
Belgium	Flor Alpaerts	1875	1954
Belgium	August Baeyens	1895	1966
Belgium	Peter Benoit	1834	1901
Belgium	Charles Auguste de Bériot		
Belgium	Jan Blockx	1851	1912
Belgium	August de Boeck	1865	1937
Belgium	Luc Brewaeys	1959	
Belgium	Dirk Brossé	1960	
Belgium	Boudewijn Buckinx	1945	
Belgium	Joseph Callaerts	1830	1901
Belgium	Roland Cardon	1929	
Belgium	Jean de Castro	1540	1611
Belgium	Peeter Cornet	1575	1633
Belgium	Alain Crépin	1954	
Belgium	Arthur De Greef	1862	1940
Belgium	Thierry De Mey	1956	
Belgium	Eva Dell'Acqua	1856	1930
Belgium	Frédéric Devreese	1929	
Belgium	Albert Dupuis	1877	1967
Belgium	Sylvain Dupuis	1856	1931
Belgium	Johan Evenepoel	1965	
Belgium	Ernest van der Eyken	1913	2010
Belgium	François-Joseph Fétis	1784	1871
Belgium	Jean-Joseph Fiocco	1696	1746
Belgium	Joseph-Hector Fiocco	1703	1741
Belgium	Bernard Foccroulle	1953	
Belgium	Jacqueline Fontyn	1930	
Belgium	François-Auguste Gevaert	1828	1908
Belgium	Frans Geysen	1936	
Belgium	Pierre De Geyter	1848	1932
Belgium	Matthias van den Gheyn	1721	1785
Belgium	Paul Gilson	1865	1942
Belgium	Lucien Goethals	1932	2006
Belgium	Karel Goeyvaerts	1923	1999
Belgium	Jacques Gregoir	1817	1876
Belgium	André Grétry	1741	1813
Belgium	Albert Grisar	1808	1869
Belgium	Richard de Guide	1909	1962
Belgium	Carolus Hacquart	1640	1701
Belgium	Alphonse Hasselmans	1845	1912
Belgium	Wim Henderickx	1962	
Belgium	Robert Herberigs	1886	1974
Belgium	Léonard de Hodémont	1575	1639
Belgium	Johan Hoogewijs	1957	
Belgium	Luc van Hove	1957	
Belgium	Walter Hus	1959	
Belgium	Albert Huybrechts	1899	1938
Belgium	Heinrich Isaac	1450	1517
Belgium	Joseph Jongen	1873	1953
Belgium	Joannes Florentius a Kempis	1635	1711
Belgium	Pierre Kolp	1969	
Belgium	André Laporte	1931	
Belgium	Paul Lebrun	1863	1920
Belgium	Claude Ledoux	1960	
Belgium	Pierre Leemans	1897	1980
Belgium	Vic Legley	1915	1994
Belgium	Guillaume Lekeu	1870	1894
