composerid	mbzid	sortname	gender	country	area_id	area_name	beginarea_id	endarea_id	lifespan_begin	lifespan_end	lifespan_ended	n_aliases	n_tags	tag_composer
0	1f9df192-a621-4f54-8850-2c5373b7eac9	Beethoven, Ludwig van	male	DE	85752fda-13c4-31a3-bee5-0e5cb1f51dad	Germany	b86b7e97-c4e2-4ec2-942b-5a6cd8eea1da	afff1a94-a98b-4322-8874-3148139ab6da	1770-12-17	1827-03-26	True	28	20	True
1	c2d17829-1424-435b-9386-c77d3a920abe	Weber, Carl Maria von	male	DE	85752fda-13c4-31a3-bee5-0e5cb1f51dad	Germany	d1a17bfe-b392-4aae-bf67-e6c6987363fe	f03d09b3-39dc-4083-afd6-159e3f0d462f	1786-11-19	1826-06-05	True	9	5	True
2	f7ef501b-2bc0-4083-ac52-3518255883a2	Hummel, Johann Nepomuk	male	AT	caac77d1-a5c8-3e6e-8e27-90b44dcc1446	Austria	ed091849-62dd-4d10-9d40-50594afb1b15	c7644e45-dec4-43fd-aad6-35036b8e911d	1778-11-14	1837-10-17	True	4	3	True
4	846be3c9-5f94-46ab-97b9-531335dd3658	Rossini, Gioachino	male	IT	c6500277-9a3d-349b-bf30-41afdbf42add	Italy	b3c4f4b8-1a4c-48e6-93db-e278dce26270	dc10c22b-e510-4006-8b7f-fecb4f36436e	1792-02-29	1868-11-13	True	13	7	True
5	b972f589-fb0e-474e-b64a-803b0364fa75	Mozart, Wolfgang Amadeus	male	AT	caac77d1-a5c8-3e6e-8e27-90b44dcc1446	Austria	f0590317-8b42-4498-a2e4-34cc5562fcf8	afff1a94-a98b-4322-8874-3148139ab6da	1756-01-27	1791-12-05	True	24	16	True
7	6f5bfd20-84cc-4879-8a40-05631ad576c7	Bellini, Vincenzo	male	IT	c6500277-9a3d-349b-bf30-41afdbf42add	Italy	0ebe2c1b-f49e-4144-be01-1f146ee6e8b3	c65960ba-69b5-494f-b7d6-8dea87a3986c	1801-11-03	1835-09-23	True	6	6	True
8	0040c89b-f2e6-4bc3-b75d-5152fb0c890e	Romberg, Bernhard	male	DE	85752fda-13c4-31a3-bee5-0e5cb1f51dad	Germany	74601bdf-08ff-4efa-a1ac-d6020853ae53	11a44e18-a2e5-43a9-bee9-aa4f7c83f967	1767-11-13	1841-08-13	True	0	2	True
9	9ee75435-3d4a-4455-bab6-aed7f7f8b2bc	Pacini, Giovanni	male	IT	c6500277-9a3d-349b-bf30-41afdbf42add	Italy	0ebe2c1b-f49e-4144-be01-1f146ee6e8b3	36d9876d-38e9-49b4-9024-16055a9e1778	1796-02-02	1867-12-06	True	0	0	False
10	d862c725-08b8-45bd-881b-3e6a9f295366	Onslow, George	male	FR	08310658-51eb-3801-80de-5a0739207115	France	31eea06c-a794-4138-879d-e633336275a2	31eea06c-a794-4138-879d-e633336275a2	1784-07-27	1853-10-03	True	1	3	True
11	480aa5f2-97e6-4e79-a364-6629d7b63b55	Thalberg, Sigismond	male	AT	caac77d1-a5c8-3e6e-8e27-90b44dcc1446	Austria	28d44913-d1b1-4cc8-8c51-bf80a2a210cf	86fbdd3c-aaac-4aed-916a-b361f7e1a8de	1812-01-08	1871-04-27	True	0	0	False
